endpoint,shared_sentence,n_seeds_present,mean_n_val,clf_r1_mean,clf_r1_std,retr_r1_mean,retr_r1_std,clf_r3_mean,clf_r3_std,retr_r3_mean,retr_r3_std,delta_r1_mean
/agent11/battery4/charging,True,5,2145.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent13/movement13/lastChange,True,5,10.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent21/movement21/lastChange,True,5,9.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent25/movement25/lastChange,True,5,7.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent23/movement23/lastChange,True,5,7.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent26/movement26/lastChange,True,5,5.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent28/movement28/lastChange,True,5,4.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
/agent3/doorlock1/open,False,4,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent12/tempin12,False,3,1.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent6/washingmachine1/washing,False,3,1.3,0.0,0.0,1.0,0.0,0.3333,0.5774,1.0,0.0,1.0
/agent1/lightcontrol1,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent10/doorlock2,False,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent10/questioningservice2,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent11/battery4,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent11/heatingcontrol2/heatingOn,True,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent11/movement11,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent11/washingmachine2,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent12/battery5,True,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent12/heatingcontrol3/heatingOn,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent12/lightcontrol12,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent12/movement12,False,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent13/lightcontrol13,False,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent13/movement13,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent14/lightcontrol14,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent14/movement14,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent14/washingmachine3,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent2/lightcontrol2,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent2/movement2,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent20/doorlock4,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent20/lightcontrol20,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent20/movement20,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent21/doorlock5,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent21/lightcontrol21,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent21/movement21,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent23/lightcontrol23,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent24/movement24,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent25/lightcontrol25,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent26/movement26,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent27/lightcontrol27,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent28/lightcontrol28,False,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent28/movement28,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent29/lightcontrol29,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent3/doorlock1,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent3/heatingcontrol1/heatingOn,False,2,1.0,0.0,0.0,1.0,0.0,0.5,0.7071,1.0,0.0,1.0
/agent3/lightcontrol3,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent3/movement3,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
/agent3/questioningservice1,False,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
